parent,tm_freeh_HOMO(eV),tm_freeh_LUMO(eV),tm_freeh_HLgap(eV),smiles,inchikey,mol,inchikey_short,parent_alk,tm_freeh_HOMO(eV)_alk,tm_freeh_LUMO(eV)_alk,tm_freeh_HLgap(eV)_alk,smiles_alk,inchikey_alk,mol_alk,parent_rad,tm_freeh_HOMO(eV)_rad,tm_freeh_LUMO(eV)_rad,tm_freeh_HLgap(eV)_rad,smiles_rad,inchikey_rad,mol_rad,rad_br,rad_alk,C_tm_water_nmr_iso,C_tm_water_charge_mulliken,C_tm_water_charge_loewdin,C_tm_water_charge_paboon,C_tm_water_charge_fasm,C_tm_water_nucleophilic_mulliken,C_tm_water_nucleophilic_loewdin,C_tm_water_nucleophilic_paboon,C_tm_water_nucleophilic_fasm,C_tm_water_electrophilic_mulliken,C_tm_water_electrophilic_loewdin,C_tm_water_electrophilic_paboon,C_tm_water_electrophilic_fasm,C_tm_water_radical_mulliken,C_tm_water_radical_loewdin,C_tm_water_radical_paboon,C_tm_water_radical_fasm,Br_tm_water_nmr_iso,Br_tm_water_charge_mulliken,Br_tm_water_charge_loewdin,Br_tm_water_charge_paboon,Br_tm_water_charge_fasm,Br_tm_water_nucleophilic_mulliken,Br_tm_water_nucleophilic_loewdin,Br_tm_water_nucleophilic_paboon,Br_tm_water_nucleophilic_fasm,Br_tm_water_electrophilic_mulliken,Br_tm_water_electrophilic_loewdin,Br_tm_water_electrophilic_paboon,Br_tm_water_electrophilic_fasm,Br_tm_water_radical_mulliken,Br_tm_water_radical_loewdin,Br_tm_water_radical_paboon,Br_tm_water_radical_fasm
VDEFXAWITXOCLI-UHFFFAOYNA-N,-8.66247,0.97819,9.64066,[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N2C(=O)[C@]([H])(Br)C(OC([H])([H])[H])(OC([H])([H])[H])C2([H])[H])c([H])c1[H],VDEFXAWITXOCLI-KRWDZBQONA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4460>,VDEFXAWITXOCLI,VDEFXAWITXOCLI-UHFFFAOYNA-N,-8.5756,1.31536,9.89096,[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N2C(=O)C([H])([H])C(OC([H])([H])[H])(OC([H])([H])[H])C2([H])[H])c([H])c1[H],STYBKDRXDLTBIN-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eea00>,VDEFXAWITXOCLI-UHFFFAOYNA-N,-8.5313,-1.11737,7.41392,[H][C]1C(=O)N(C([H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1(OC([H])([H])[H])OC([H])([H])[H],ROYLMXNCNUVWGF-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d580>,0.03326501267019921,0.03554207255012898,130.52890294,-0.2609,-0.21407,-0.1282,0.005150508,0.0113,0.0595,0.0925,0.0072,-0.0061,0.0093,0.0018,0.0041,0.0026,0.0344,0.0471,0.0057,2190.74027216,-0.06366,0.04736,-0.0245,-0.111442082,0.2384,0.2269,0.2037,0.234,0.0975,0.0855,0.088,0.1025,0.1679,0.1562,0.1458,0.1683
VECNQNHQXBOREN-PKSOQXRJNA-N,-8.9885,0.87202,9.86051,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)C(=O)N2[H])c([H])c1[H],VECNQNHQXBOREN-PKSOQXRJNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b44c0>,VECNQNHQXBOREN,VECNQNHQXBOREN-PKSOQXRJNA-N,-8.90471,0.97511,9.87982,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)N2[H])c([H])c1[H],NSAQJIOXNYXOKM-UYBDAZJANA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eebe0>,VECNQNHQXBOREN-PKSOQXRJNA-N,-7.6411,0.75941,8.40052,[H][C]([H])C([H])([H])C([H])([H])C([H])([H])N1C(=O)N([H])C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])C1=O,PYILFPQHMIQIMJ-UYBDAZJANA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d460>,0.04719229695001559,0.04216557450001801,139.17955084,-0.26323,-0.27329,-0.1119,0.014404727,-0.001,0.0014,0.0035,0.0037,-0.007,0.0041,0.0015,0.0078,-0.004,0.0028,0.0025,0.0057,2338.82707793,-0.17097,-0.03594,-0.1138,-0.182258966,0.0115,0.0096,0.009,0.014,0.0887,0.0877,0.0909,0.0837,0.0501,0.0486,0.05,0.0488
VZIBCTPQLZCVLU-UHFFFAOYNA-N,-9.35359,-0.1089,9.24469,[H]c1c([H])c([H])c2c(c1[H])C(=O)O[C@@]2([H])N(C([H])([H])C([H])([H])Br)[C@]1([H])OC(=O)c2c([H])c([H])c([H])c([H])c21,VZIBCTPQLZCVLU-HZPDHXFCNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4520>,VZIBCTPQLZCVLU,VZIBCTPQLZCVLU-UHFFFAOYNA-N,-9.1587,0.06314,9.22185,[H]c1c([H])c([H])c2c(c1[H])C(=O)O[C@@]2([H])N(C([H])([H])C([H])([H])[H])[C@]1([H])OC(=O)c2c([H])c([H])c([H])c([H])c21,FEUKWAMEHQDRBA-HZPDHXFCNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eeb20>,VZIBCTPQLZCVLU-UHFFFAOYNA-N,-7.99516,0.06618,8.06134,[H][C]([H])C([H])([H])N([C@]1([H])OC(=O)c2c([H])c([H])c([H])c([H])c21)[C@]1([H])OC(=O)c2c([H])c([H])c([H])c([H])c21,KNMJEKQPCDGYPI-HZPDHXFCNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d880>,0.04771007936051319,0.04278048483013208,142.58268908,-0.25095,-0.2898,-0.1313,0.016430573,-0.0045,0.0005,0.0011,0.0065,-0.016,0.0147,0.0096,0.0219,-0.0102,0.0076,0.0053,0.0142,2368.36381499,-0.15072,-0.01232,-0.0952,-0.145872719,0.02,0.0166,0.016,0.0231,0.167,0.1575,0.1642,0.1637,0.0935,0.087,0.0901,0.0934
WGMYJGAUAQXYFQ-UHFFFAOYNA-N,-8.03313,0.77454,8.80767,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c(C([H])([H])Br)c2[H])c([H])c1[H],WGMYJGAUAQXYFQ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4580>,WGMYJGAUAQXYFQ,WGMYJGAUAQXYFQ-UHFFFAOYNA-N,-7.80479,1.41547,9.22027,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H],USZSRQOJOHTCHZ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eec40>,WGMYJGAUAQXYFQ-UHFFFAOYNA-N,-7.0604,-0.43409,6.62631,[H][C]([H])c1c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],AKVRXGYQMNEBPS-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926dd60>,0.02603707390017007,0.023818250160047683,138.03747319,-0.20476,-0.24291,-0.1233,0.020531726,0.0347,0.0725,0.1035,0.0474,-0.0052,-0.0007,0.0011,0.0174,0.0148,0.0359,0.0523,0.0324,2118.21991062,-0.17307,-0.04403,-0.1156,-0.175889313,0.2106,0.2081,0.1713,0.2229,0.0628,0.0563,0.0563,0.0809,0.1367,0.1322,0.1138,0.1519
WTCCANMBFQWZMY-UHFFFAOYNA-N,-7.23929,-0.28448,6.95481,[H]c1c([H])c(C([H])([H])Br)c([H])c([H])c1-c1c([H])c2c([H])c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2oc1=O,WTCCANMBFQWZMY-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaab6017c40>,WTCCANMBFQWZMY,WTCCANMBFQWZMY-UHFFFAOYNA-N,-7.08787,-0.02287,7.065,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-c1c([H])c2c([H])c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2oc1=O,NXSMMFAUBZCPPQ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eeb80>,WTCCANMBFQWZMY-UHFFFAOYNA-N,-6.49453,-0.74986,5.74467,[H][C]([H])c1c([H])c([H])c(-c2c([H])c3c([H])c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c3oc2=O)c([H])c1[H],QIQXRMYOUAVWGT-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926dd00>,0.024337661110166664,0.021349058640112162,136.49390846,-0.20305,-0.24346,-0.121,0.020784627,0.0128,0.0238,0.0366,0.0205,-0.0004,0.0006,0.0011,0.0073,0.0062,0.0122,0.0188,0.0139,2106.16044182,-0.18071,-0.05276,-0.1216,-0.181340386,0.0887,0.0867,0.0734,0.0957,0.0288,0.0269,0.0271,0.0329,0.0588,0.0568,0.0503,0.0643
FHDWKBODRXIYFC-UHFFFAOYNA-N,-7.53065,-0.19017,7.34048,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1C([H])([H])Br,FHDWKBODRXIYFC-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4640>,FHDWKBODRXIYFC,FHDWKBODRXIYFC-UHFFFAOYNA-N,-7.62373,0.7956,8.41933,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1C([H])([H])[H],VPIUVBLEDIDJQZ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eed60>,FHDWKBODRXIYFC-UHFFFAOYNA-N,-7.54021,-1.14346,6.39675,[H][C]([H])c1c([H])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],YYMYVMXCCQIPQT-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d9a0>,0.03125746891055314,0.021894481090043882,137.63769579,-0.20253,-0.24147,-0.1164,0.027656063,0.0446,0.0717,0.1046,0.0532,0.0043,0.0013,0.0006,0.0049,0.0244,0.0365,0.0526,0.0291,2089.33225296,-0.14225,-0.00481,-0.1019,-0.086910218,0.212,0.2141,0.1787,0.222,0.0122,0.0117,0.008,0.0337,0.1121,0.1129,0.0934,0.1279
GNFMSZCSSUZAGV-ALGICJAMNA-N,-7.71657,0.32481,8.04138,[H]Oc1nc2c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c([C@@]([H])(O[H])C([H])([H])Br)c2c([H])c1[H],GNFMSZCSSUZAGV-ALGICJAMNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b46a0>,GNFMSZCSSUZAGV,GNFMSZCSSUZAGV-ALGICJAMNA-N,-7.61361,0.36514,7.97876,[H]Oc1nc2c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c([C@@]([H])(O[H])C([H])([H])[H])c2c([H])c1[H],UVKTUYJYDOYKBW-YROMPDBNNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf95049a0>,GNFMSZCSSUZAGV-ALGICJAMNA-N,-7.39304,0.12938,7.52242,[H]Oc1nc2c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c([C@@]([H])(O[H])[C]([H])[H])c2c([H])c1[H],PGJMZMRGFHPSMR-YROMPDBNNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf95c9ca0>,0.04704899221997039,0.04495233774014196,135.26116096,-0.1993,-0.27128,-0.1125,0.016423882,0.0017,0.0027,0.0025,0.0091,-0.0049,0.0041,0.0012,0.0127,-0.0016,0.0034,0.0019,0.0109,2388.1297024,-0.14162,0.00194,-0.0863,-0.135344534,0.0166,0.015,0.0111,0.0508,0.0296,0.0239,0.0228,0.0542,0.0231,0.0194,0.0169,0.0525
GWTNLHGTLIBHHZ-SVNGYHJRNA-N,-9.84204,1.37223,11.21427,[H]C([H])([H])OC(=O)[C@@]1([H])O[C@]([H])(Br)[C@]([H])(OC(=O)C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]1([H])OC(=O)C([H])([H])[H],GWTNLHGTLIBHHZ-SVNGYHJRNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4700>,GWTNLHGTLIBHHZ,GWTNLHGTLIBHHZ-SVNGYHJRNA-N,-9.63237,1.87544,11.5078,[H]C([H])([H])OC(=O)[C@@]1([H])OC([H])([H])[C@]([H])(OC(=O)C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]1([H])OC(=O)C([H])([H])[H],QJTZNWRABBGSCY-USZNOCQGNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eeca0>,GWTNLHGTLIBHHZ-SVNGYHJRNA-N,-7.56273,0.43925,8.00197,[H][C]1O[C@]([H])(C(=O)OC([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]([H])(OC(=O)C([H])([H])[H])[C@@]1([H])OC(=O)C([H])([H])[H],ITMQFZUMARQMKI-USZNOCQGNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d8e0>,0.04233999803045663,0.03382679112007736,81.48539887,-0.03373,-0.09873,0.0894,0.023498998,0.0151,0.0769,0.096,0.0226,-0.009,0.0072,0.0028,0.014,0.0031,0.042,0.0494,0.0183,2211.05031907,-0.13256,-0.03754,-0.1235,-0.107860959,0.2069,0.1898,0.1545,0.2048,0.1926,0.1875,0.1964,0.1761,0.1998,0.1886,0.1755,0.1905
JQKKCRJDFAHNBB-UHFFFAOYNA-N,-8.0515,-0.3997,7.6518,[H]O[C@]([H])(c1c([H])c([H])c2c(c1[H])C([H])([H])Oc1c([H])c3c(c([H])c1-2)C([H])([H])C([H])([H])C([H])([H])C3=O)C([H])([H])Br,JQKKCRJDFAHNBB-SFHVURJKNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b4760>,JQKKCRJDFAHNBB,JQKKCRJDFAHNBB-UHFFFAOYNA-N,-7.86648,-0.22888,7.6376,[H]O[C@]([H])(c1c([H])c([H])c2c(c1[H])C([H])([H])Oc1c([H])c3c(c([H])c1-2)C([H])([H])C([H])([H])C([H])([H])C3=O)C([H])([H])[H],YSBISBMVYZDNAZ-NSHDSACANA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eee20>,JQKKCRJDFAHNBB-UHFFFAOYNA-N,-7.88905,-0.27494,7.61411,[H]O[C@@]([H])([C]([H])[H])c1c([H])c([H])c2c(c1[H])C([H])([H])Oc1c([H])c3c(c([H])c1-2)C([H])([H])C([H])([H])C([H])([H])C3=O,AWOLFDIJYUPOQK-NSHDSACANA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926da60>,0.043796985010430944,0.04276546310006779,141.74737729,-0.21964,-0.28431,-0.1352,0.019853839,-0.0035,0.0008,0.0008,0.0057,-0.0035,0.0003,-0.0005,0.0061,-0.0035,0.0005,0.0002,0.0059,2367.65363316,-0.15626,-0.0162,-0.0991,-0.15437664,0.012,0.0097,0.0097,0.0251,0.0209,0.0188,0.0187,0.0318,0.0164,0.0142,0.0142,0.0284
MSZJJGHZRBKVHQ-UHFFFAOYNA-N,-8.29642,-0.25142,8.045,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(C(=O)C([H])([H])Br)c([H])c2N([H])S(=O)(=O)C([H])([H])[H])c([H])c1[H],MSZJJGHZRBKVHQ-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf70b47c0>,MSZJJGHZRBKVHQ,MSZJJGHZRBKVHQ-UHFFFAOYNA-N,-8.43821,0.2306,8.66881,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(C(=O)C([H])([H])[H])c([H])c2N([H])S(=O)(=O)C([H])([H])[H])c([H])c1[H],LVZYLKCBQBQPSI-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf72eed00>,MSZJJGHZRBKVHQ-UHFFFAOYNA-N,-8.17766,-1.41115,6.76651,[H][C]([H])C(=O)c1c([H])c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c(N([H])S(=O)(=O)C([H])([H])[H])c1[H],SFJHBWYUTMMIGV-UHFFFAOYNA-N,<rdkit.Chem.rdchem.Mol object at 0x2aaaf926d940>,0.03249763827989227,0.03306154395011163,148.10693082,-0.22949,-0.29174,-0.1743,0.035901175,0.0105,0.0339,0.0411,0.0514,-0.0108,0.0023,-0.0035,0.0146,-0.0002,0.0181,0.0188,0.033,2195.3619537,-0.10929,0.02408,-0.0514,-0.090596501,0.1601,0.1566,0.1353,0.1783,0.0429,0.0381,0.0371,0.0572,0.1015,0.0973,0.0862,0.1178
