parent,smiles_alkyl,inchikey,inchikey_short,id,smiles_aryl,smiles,reaction_smarts
VDEFXAWITXOCLI-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])(c2c([H])c([H])c([H])c([H])c2[H])N2C(=O)[C@]([H])(Br)C(OC([H])([H])[H])(OC([H])([H])[H])C2([H])[H])c([H])c1[H],QWCXKRXITFORIC-VWLOTQADNA-N,VDEFXAWITXOCLI,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1[C@H]1C(=O)N(C(c2ccccc2)c2ccccc2)CC1(OC)OC,COC1(OC)CN(C(c2ccccc2)c2ccccc2)C(=O)[C@@H]1Br.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1[C@H]1C(=O)N(C(c2ccccc2)c2ccccc2)CC1(OC)OC
VECNQNHQXBOREN-PKSOQXRJNA-N,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])C(=O)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])Br)C(=O)N2[H])c([H])c1[H],IEUGBZAYCDANBN-PKRZOPRNNA-N,VECNQNHQXBOREN,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1CCCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCCBr.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1CCCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
VZIBCTPQLZCVLU-UHFFFAOYNA-N,[H]c1c([H])c([H])c2c(c1[H])C(=O)O[C@@]2([H])N(C([H])([H])C([H])([H])Br)[C@]1([H])OC(=O)c2c([H])c([H])c([H])c([H])c21,AIJAPNKTMYPFBH-JWQCQUIFNA-N,VZIBCTPQLZCVLU,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1CCN([C@@H]1OC(=O)c2ccccc21)[C@@H]1OC(=O)c2ccccc21,O=C1O[C@@H](N(CCBr)[C@@H]2OC(=O)c3ccccc32)c2ccccc21.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1CCN([C@@H]1OC(=O)c2ccccc21)[C@@H]1OC(=O)c2ccccc21
WGMYJGAUAQXYFQ-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c(C([H])([H])Br)c2[H])c([H])c1[H],YLYSOWKZRLPTHA-UHFFFAOYNA-N,WGMYJGAUAQXYFQ,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1Cc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,BrCc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1Cc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1
WTCCANMBFQWZMY-UHFFFAOYNA-N,[H]c1c([H])c(C([H])([H])Br)c([H])c([H])c1-c1c([H])c2c([H])c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2oc1=O,RPOREGCZWWHAJZ-UHFFFAOYNA-N,WTCCANMBFQWZMY,core9,BrC1=C(COC)C=CC=C1OC,CCN(CC)c1ccc2cc(-c3ccc(Cc4c(COC)cccc4OC)cc3)c(=O)oc2c1,CCN(CC)c1ccc2cc(-c3ccc(CBr)cc3)c(=O)oc2c1.COCc1cccc(OC)c1Br>>CCN(CC)c1ccc2cc(-c3ccc(Cc4c(COC)cccc4OC)cc3)c(=O)oc2c1
FHDWKBODRXIYFC-UHFFFAOYNA-N,[H]c1c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])c2c([H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1C([H])([H])Br,KRULJRSQYMQXOD-UHFFFAOYNA-N,FHDWKBODRXIYFC,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1Cc1ccc(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc1,O=S(=O)(NCCc1c[nH]c2ccccc12)c1ccc(CBr)cc1.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1Cc1ccc(S(=O)(=O)NCCc2c[nH]c3ccccc23)cc1
GNFMSZCSSUZAGV-ALGICJAMNA-N,[H]Oc1nc2c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c([C@@]([H])(O[H])C([H])([H])Br)c2c([H])c1[H],ROQMLBLJCGNOGG-NHPKAQBRNA-N,GNFMSZCSSUZAGV,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1C[C@H](O)c1ccc(OCc2ccccc2)c2nc(O)ccc12,Oc1ccc2c([C@@H](O)CBr)ccc(OCc3ccccc3)c2n1.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1C[C@H](O)c1ccc(OCc2ccccc2)c2nc(O)ccc12
GWTNLHGTLIBHHZ-SVNGYHJRNA-N,[H]C([H])([H])OC(=O)[C@@]1([H])O[C@]([H])(Br)[C@]([H])(OC(=O)C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]1([H])OC(=O)C([H])([H])[H],JQTXEBFHPPPENW-TXVWBRJLNA-N,GWTNLHGTLIBHHZ,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1[C@H]1O[C@H](C(=O)OC)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,COC(=O)[C@H]1O[C@H](Br)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1[C@H]1O[C@H](C(=O)OC)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
JQKKCRJDFAHNBB-UHFFFAOYNA-N,[H]O[C@]([H])(c1c([H])c([H])c2c(c1[H])C([H])([H])Oc1c([H])c3c(c([H])c1-2)C([H])([H])C([H])([H])C([H])([H])C3=O)C([H])([H])Br,YJAWEGODBAWZIV-SANMLTNENA-N,JQKKCRJDFAHNBB,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1C[C@H](O)c1ccc2c(c1)COc1cc3c(cc1-2)CCCC3=O,O=C1CCCc2cc3c(cc21)OCc1cc([C@@H](O)CBr)ccc1-3.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1C[C@H](O)c1ccc2c(c1)COc1cc3c(cc1-2)CCCC3=O
MSZJJGHZRBKVHQ-UHFFFAOYNA-N,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(C(=O)C([H])([H])Br)c([H])c2N([H])S(=O)(=O)C([H])([H])[H])c([H])c1[H],UUZDNAXSLHOHQX-UHFFFAOYNA-N,MSZJJGHZRBKVHQ,core9,BrC1=C(COC)C=CC=C1OC,COCc1cccc(OC)c1CC(=O)c1ccc(OCc2ccccc2)c(NS(C)(=O)=O)c1,CS(=O)(=O)Nc1cc(C(=O)CBr)ccc1OCc1ccccc1.COCc1cccc(OC)c1Br>>COCc1cccc(OC)c1CC(=O)c1ccc(OCc2ccccc2)c(NS(C)(=O)=O)c1
