Dataset,r2,mae,rmse,mean,10_acc,10_recall,10_f1,10_precision,10_prc-auc,20_acc,20_recall,20_f1,20_precision,20_prc-auc,30_acc,30_recall,30_f1,30_precision,30_prc-auc,40_acc,40_recall,40_f1,40_precision,40_prc-auc,50_acc,50_recall,50_f1,50_precision,50_prc-auc,features
AL+Random,0.40247516789218274,8.312215904597373,13.011792504236187,12.493558921989125,0.8390673575129535,0.9588,0.7554025797828419,0.6232958606728094,0.7963847179011716,0.8635233160621761,0.8015000000000001,0.7085758505917664,0.6357978643592781,0.7392188803661675,0.8459067357512954,0.5,0.46584267089759385,0.437329223517485,0.5023433682354264,0.8844559585492228,0.31882352941176473,0.3258505105506022,0.3378504462513751,0.3583369878315698,0.9576165803108809,0.15,0.2185268065268065,0.4766666666666666,0.3709499136442141,DFT+PCA
AL cores 1,0.3611604580903367,8.524765177915569,13.457397384871488,12.615241650005178,0.8463212435233162,0.9531999999999999,0.7627033352947712,0.6357297955643305,0.8005270739479684,0.8452849740932642,0.7865000000000002,0.6776653790321784,0.5962147156247121,0.7134817101439623,0.8498445595854923,0.6076923076923078,0.5219396908804245,0.45778788059494396,0.5591649646099469,0.8821761658031088,0.21647058823529414,0.23996985673693522,0.28277172174230997,0.28412892700952747,0.9576165803108807,0.025,0.03957575757575758,0.11499999999999998,0.4302072538860104,DFT+PCA
AL cores 1&2,0.2883238246239515,9.070555381742924,14.20011865063536,13.380902720030413,0.8386528497409327,0.9491999999999998,0.7530702621620933,0.6242330559831788,0.7932968388724184,0.8366839378238342,0.7865000000000001,0.6660708604559018,0.5781618230822667,0.7044552638727396,0.846217616580311,0.6023076923076924,0.5136608031695784,0.4482672234252555,0.5520750226333133,0.8659067357512954,0.34705882352941164,0.3103170957893377,0.283775944973798,0.34417386093554275,0.948497409326425,0.13,0.16826802437328753,0.2788268398268398,0.24244450799632147,DFT+PCA
Random,0.2118923341536354,8.363709316541382,14.947600849793188,7.2891078853477715,0.861658031088083,0.7487999999999999,0.7367369761124192,0.7265338682985087,0.7702057942528814,0.8162694300518134,0.2655,0.3736090601701323,0.6379845616200105,0.527856270447311,0.8458031088082903,0.0823076923076923,0.12558645276292338,0.2662380952380952,0.2360863652754845,0.8966839378238342,0.02117647058823529,0.033539996235648406,0.08333333333333334,0.09536371025093975,0.9546113989637306,0.0,0.0,0.0,0.15072538860103626,DFT+PCA
AL+Random,0.4293574991279918,8.129427392033643,12.717046227921548,12.871428568031702,0.8467357512953368,0.9584,0.7642365632924433,0.6355773612839222,0.8023772816782305,0.8715025906735749,0.8745000000000002,0.7378720395504449,0.6390250614545989,0.7697677120744498,0.8306735751295339,0.4607692307692307,0.4219468973709062,0.38992508031178447,0.46166839906382373,0.8904663212435233,0.3976470588235293,0.39061402666176454,0.3859918084151829,0.4183479310286826,0.9526424870466321,0.295,0.34025023016199485,0.42369047619047606,0.37395663705896864,DFT
AL cores 1,0.38076053093868595,8.352159744071036,13.248930081893553,13.08340069615376,0.84,0.9347999999999999,0.7517297386069381,0.628695699859074,0.7901934457844593,0.8594818652849741,0.8480000000000001,0.7142807386690316,0.617296477563482,0.7483995341185286,0.8367875647668395,0.6223076923076923,0.5072335895854602,0.42876474588561275,0.5509766336044245,0.88580310880829,0.3929411764705881,0.37551906605383273,0.3639437840468262,0.405178231554044,0.9568911917098447,0.18,0.2528316128316128,0.4759999999999999,0.3449948186528497,DFT
AL cores 1&2,0.2904681976797859,9.075010939511683,14.178515170496238,14.404698693237425,0.8328497409326425,0.9367999999999997,0.7439017900150101,0.6169508237057433,0.7850619403502809,0.8521243523316062,0.8965000000000001,0.715391827657325,0.5954958751720608,0.7567233261870667,0.8152331606217618,0.6361538461538462,0.48131914211088395,0.38764816871276936,0.5364087794540331,0.8660103626943004,0.49764705882352933,0.3960824095849139,0.33056342507977177,0.4362295942832567,0.9479792746113991,0.25,0.28682868112279875,0.3615079365079365,0.3212980097047454,DFT
Random,0.22036014721543165,8.445905058761078,14.867592210580044,7.720831190033323,0.850155440414508,0.7547999999999999,0.7225314979045688,0.6940260607721791,0.7561746884171775,0.827357512953368,0.3305,0.4407409483873393,0.6709941186974434,0.5701252976906906,0.8385492227979274,0.07307692307692308,0.10853988901047724,0.21237445887445885,0.20516092413631276,0.8922279792746114,0.007058823529411764,0.010938264633916806,0.02519047619047619,0.05985521980813051,0.947979274611399,0.0,0.0,0.0,0.020725388601036274,DFT
AL+Random,0.22636412304772377,10.27606425285142,14.80875795474505,11.368132762379188,0.755958549222798,0.786,0.6260659514348424,0.5210958573992933,0.6812681359535325,0.8315025906735751,0.6955,0.6308009241029053,0.5784164941011547,0.668512651195655,0.8515025906735753,0.08230769230769232,0.12748085421852026,0.2938412698412698,0.24988795257707175,0.8950259067357513,0.0,0.0,0.0,0.044041450777202076,0.953678756476684,0.0,0.0,0.0,0.20072538860103628,DRFP
AL cores 1,0.1870132673478153,10.461847274966571,15.179567707582159,12.481996350462135,0.7658031088082902,0.8044,0.6405583128960782,0.5324936648939718,0.6937836200117528,0.8219689119170985,0.7829999999999999,0.645925068460455,0.5513027579031377,0.689638425583693,0.835958549222798,0.3692307692307692,0.37479995408380407,0.3843734934619492,0.4192891779784836,0.8904663212435233,0.0,0.0,0.0,0.044041450777202076,0.9461139896373056,0.0,0.0,0.0,0.15072538860103626,DRFP
