smiles,Br_C_type,id,inchikey_short
CCC(=O)OC1=CC=C(CBr)C=C1,primary,DFPVRTCKIAJFPB-UHFFFAOYNA-N,DFPVRTCKIAJFPB
FC(F)(F)C(F)(F)CBr,primary,HKAWJXVJGNTQMW-UHFFFAOYNA-N,HKAWJXVJGNTQMW
OC(=O)CC12CC3CC(CC(Br)(C3)C1)C2,tertiary,HFGLWCBEPPFDDJ-YHMJCDSINA-N,HFGLWCBEPPFDDJ
OC(=O)CC(Br)C(=O)C1=CC=C(Cl)C=C1,secondary,IGOYRYSKKLREIH-NDKGDYFDNA-N,IGOYRYSKKLREIH
FC1=CC=C(OC(F)(F)F)C(CBr)=C1,primary,VUUGICQPCOWAIC-UHFFFAOYNA-N,VUUGICQPCOWAIC
CC1=CC=C(C=C1C)C(=O)CBr,primary,LTCYMNSEASALNB-UHFFFAOYNA-N,LTCYMNSEASALNB
CC(C)(C)OC1=CC=C(CCBr)C=C1,primary,GKGNCUZYCWSLPM-UHFFFAOYNA-N,GKGNCUZYCWSLPM
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr,primary,UDFSAZKDTBRQDY-UHFFFAOYNA-N,UDFSAZKDTBRQDY
CC(C)(C)[Si](C)(C)OCCOCCOCCBr,primary,FVKQGXGGSCBBKQ-UHFFFAOYNA-N,FVKQGXGGSCBBKQ
CC(=C)C(=O)OCCOC(=O)C(C)(C)Br,tertiary,QXDYJUSFCUKOQD-UHFFFAOYNA-N,QXDYJUSFCUKOQD
BrCC1CCCN(CC2=CC=CC=C2)C1,primary,KXZVDKLLZCMUKD-UHFFFAOYNA-N,KXZVDKLLZCMUKD
OC(CCl)CBr,primary,TVDCSPSRGSLXOV-UHFFFAOYNA-N,TVDCSPSRGSLXOV
BrCC1=CN=C(N=C1)C1=CC=CC=C1,primary,OFZDTRPGUOMRKC-UHFFFAOYNA-N,OFZDTRPGUOMRKC
COC1=CC=C(C=C1)C(Br)C(F)(F)F,secondary,OOCARIDHXMGEMX-UHFFFAOYNA-N,OOCARIDHXMGEMX
CC(C)(C)OC(=O)NCCOCCOCCBr,primary,WGWDCMKAMHBDPO-NDKGDYFDNA-N,WGWDCMKAMHBDPO
BrCCCCOC1CCCCO1,primary,DFXFQWZHKKEJDM-UHFFFAOYNA-N,DFXFQWZHKKEJDM
CC1=NN=C(O1)C1=CC=C(CBr)C=C1,primary,WVPQOCBRPIJXDK-UHFFFAOYNA-N,WVPQOCBRPIJXDK
COC(=O)C1=CC(Cl)=C(CBr)C(Cl)=C1,primary,KQHHSNCXMBIUQF-UHFFFAOYNA-N,KQHHSNCXMBIUQF
CC(C)(C)OC(=O)CCBr,primary,RMWVUWLBLWBQDS-UHFFFAOYNA-N,RMWVUWLBLWBQDS
COC1=C(OC)C=C(CCBr)C=C1,primary,LTAGXVMHLFYRNK-UHFFFAOYNA-N,LTAGXVMHLFYRNK
CC1=C(CBr)C=CC(F)=C1,primary,DAKPIAWEPVZDNG-UHFFFAOYNA-N,DAKPIAWEPVZDNG
BrC1CC2CC1OC2=O,secondary,MEORTOZYFILGLU-UHFFFAOYNA-N,MEORTOZYFILGLU
CC1CC(Br)C(=O)O1,secondary,FLOKBGAYTGLYGR-UHFFFAOYNA-N,FLOKBGAYTGLYGR
BrCC(=O)OC1=CC=CC=C1,primary,UEWYUCGVQMZMGY-UHFFFAOYNA-N,UEWYUCGVQMZMGY
CC(Br)C1=CC=C(Cl)C=C1F,secondary,SLVMGCQZGKBAIJ-UHFFFAOYNA-N,SLVMGCQZGKBAIJ
ClC1=CC=C(C=C1)N1CC(CBr)OC1=O,primary,LLLOCFSPYKDCOM-UHFFFAOYNA-N,LLLOCFSPYKDCOM
COCCOCCOCCOCCOCCOCCBr,primary,GFRLIPYEIIWDJX-UHFFFAOYNA-N,GFRLIPYEIIWDJX
COC(=O)C1=C(CBr)C=C(C=C1)N(=O)=O,primary,PGNKFDOPHHNVNF-UHFFFAOYNA-N,PGNKFDOPHHNVNF
CC(CO)(CO)CBr,primary,CRXGGNZLPTXQHB-UHFFFAOYNA-N,CRXGGNZLPTXQHB
CN1N=NC2=C1C=CC(CBr)=C2,primary,OSUZHHPMRAIJDY-UHFFFAOYNA-N,OSUZHHPMRAIJDY
[H][C@@]12C[C@@]3([H])C[C@@]([H])(C1)C(Br)[C@@]([H])(C2)C3,secondary,RCXJARRRXOPXBC-MGPGSJOLNA-N,RCXJARRRXOPXBC
CC1=CC(OCCCCBr)=C(C)C=C1,primary,OHPHBERMVIOTHU-UHFFFAOYNA-N,OHPHBERMVIOTHU
C[Si](C)(C)C#CCBr,primary,GAPRPFRDVCCCHR-UHFFFAOYNA-N,GAPRPFRDVCCCHR
ClC(=O)CCCCBr,primary,OKRUMSWHDWKGHA-UHFFFAOYNA-N,OKRUMSWHDWKGHA
CC(F)(F)CCBr,primary,PXGQUVAOZVWRSA-UHFFFAOYNA-N,PXGQUVAOZVWRSA
CC1(C)OB(OC1(C)C)C1=CC=CC(NC(=O)CBr)=C1,primary,UVTPWSKSUQJQOW-HCKMINDGNA-N,UVTPWSKSUQJQOW
BrC1CCC(=O)CC1,secondary,OMCGWSBEIHGWOH-UHFFFAOYNA-N,OMCGWSBEIHGWOH
BrCCNC(=O)OCC=C,primary,PVHUBYKHHACXLU-FZOZFQFYNA-N,PVHUBYKHHACXLU
BrC1CC(=O)C2=CC=CC=C12,secondary,BSAIUCUXHVGXNK-UHFFFAOYNA-N,BSAIUCUXHVGXNK
CO[Si](CCCOC(=O)C(C)(C)Br)(OC)OC,tertiary,PBHIWZGFSZBQJV-UHFFFAOYNA-N,PBHIWZGFSZBQJV
ClC1=CC(CBr)=C(Cl)C=C1,primary,UUVDOPTUDWJHFK-UHFFFAOYNA-N,UUVDOPTUDWJHFK
OC1=C(C=CC(F)=C1)C(=O)CBr,primary,QWYCXHKZADAVSG-UHFFFAOYNA-N,QWYCXHKZADAVSG
FC(F)(F)OC1=CC=C(CBr)C=C1Cl,primary,YTXRMMJPEBWDPE-UHFFFAOYNA-N,YTXRMMJPEBWDPE
CCC(Br)C(=O)OC1=CC=CC=C1,secondary,ZPHQCPYPVCGUJF-UHFFFAOYNA-N,ZPHQCPYPVCGUJF
BrCC#N,primary,REXUYBKPWIPONM-UHFFFAOYNA-N,REXUYBKPWIPONM
BrCC1=CC=C(OC2=CC=CC=C2)C=C1,primary,CPIGBCFBFZSCQI-UHFFFAOYNA-N,CPIGBCFBFZSCQI
CC1OC2=C(NC1=O)C=C(C=C2)C(=O)CBr,primary,LZAFBKMTCPMZRG-NDKGDYFDNA-N,LZAFBKMTCPMZRG
ClC1=CC(C(=O)CBr)=C(Cl)C=C1,primary,JGILXRDUULAMPY-UHFFFAOYNA-N,JGILXRDUULAMPY
