,importances_mean,importances_std
f_rad_br,0.32222480267695974,0.053370728428218536
f_C_tm_water_electrophilic_fasm,0.14050647779931383,0.0296519628764697
f_tm_freeh_LUMO(eV)_rad,0.11750634024961226,0.026674907356365397
f_core_tm_water_ionization_potential [eV],0.04747811742605379,0.010825665321001144
f_Br_tm_water_electrophilic_fasm,0.044058500715251525,0.009150184518190354
f_core_tm_freeh_HOMO(eV),0.01254297976327835,0.0042171318033692035
f_core_C_tm_water_nucleophilic_fasm,0.012124299139654699,0.0034989924644199316
f_tm_freeh_HLgap(eV)_rad,0.011500992292637824,0.004522194668578942
f_Br_tm_water_radical_fasm,0.01093410932669928,0.004121734513713863
f_core_C_tm_water_radical_fasm,0.01001216996445174,0.003182218568235258
f_core_tm_water_electronegativity [eV],0.009840736065016247,0.003932042258963463
f_tm_freeh_HOMO(eV),0.009313041777576752,0.0021914417940708166
f_core_Br_tm_water_nmr_iso,0.008973375350092502,0.002822851629855255
f_core_tm_freeh_LUMO(eV),0.008764479420789844,0.0027779185376941577
f_core_C_tm_water_electrophilic_fasm,0.0074387866043778075,0.002694897521571644
f_core_C_tm_water_nmr_iso,0.006094267987279602,0.0023264459916826244
f_Br_tm_water_nmr_iso,0.005643154643403137,0.0034215102788656025
f_core_tm_water_hardness [eV],0.005609415021454046,0.002304105125072566
f_C_tm_water_charge_fasm,0.005157057350179427,0.0034720099364714285
f_core_tm_water_electron_affinity [eV],0.005124148684987932,0.0028166375921851857
f_core_tm_water_electrophilicity [eV],0.00453326131313545,0.0024064005962176577
f_tm_freeh_HLgap(eV)_alk,0.004265956146847423,0.002722655648820022
f_core_tm_freeh_HLgap(eV),0.003965580122078116,0.0018283630723262678
f_core_C_tm_water_charge_fasm,0.0036093531566636465,0.001810813646449662
f_core_Br_tm_water_nucleophilic_fasm,0.0035826688473566196,0.0020619521200177563
f_rad_alk,0.0035143596191705246,0.00501137685205112
f_Br_tm_water_charge_fasm,0.003508013751151466,0.005086248549636321
f_tm_freeh_HOMO(eV)_rad,0.003401013471365575,0.0026777073464702246
f_C_tm_water_radical_fasm,0.003233827467247035,0.002124682748145127
f_core_Br_tm_water_charge_fasm,0.002968269877783005,0.0017859548999901742
f_C_tm_water_nmr_iso,0.002389441420433342,0.0033712150883089113
f_core_Br_tm_water_electrophilic_fasm,0.002297850478812349,0.0023305840533008448
f_core_Br_tm_water_radical_fasm,0.0016154528831129598,0.0013707489874468216
f_tm_freeh_HOMO(eV)_alk,0.0013079032748371966,0.0013330182417714612
f_tm_freeh_LUMO(eV),0.0005069175704928641,0.001794332480489534
f_C_tm_water_nucleophilic_fasm,0.0003680491762788807,0.0020628584038612035
f_tm_freeh_LUMO(eV)_alk,-0.0016973042364889844,0.0017047463753417063
f_tm_freeh_HLgap(eV),-0.0017047009299864893,0.0015349106042275749
f_Br_tm_water_nucleophilic_fasm,-0.001818522594287474,0.0025370444134566556
