Dataset,r2,mae,rmse,mean,10_acc,10_recall,10_f1,10_precision,10_prc-auc,20_acc,20_recall,20_f1,20_precision,20_prc-auc,30_acc,30_recall,30_f1,30_precision,30_prc-auc,40_acc,40_recall,40_f1,40_precision,40_prc-auc,50_acc,50_recall,50_f1,50_precision,50_prc-auc,features
AL+Random,0.4929945846553213,14.637039611063058,24.376223641646696,13.645758713450794,0.7249411764705884,0.7314285714285715,0.5667867891660766,0.4638796509458399,0.6308305817754409,0.8336470588235294,0.6658823529411765,0.6155482103918637,0.5745001582076559,0.6536030202802986,0.8934117647058823,0.6649999999999998,0.6388168305124827,0.6168707958707959,0.6645824567589272,0.9381176470588235,0.6181818181818182,0.7181822180227754,0.8729502164502163,0.7702718996689585,0.9256470588235294,0.37199999999999994,0.534242620124973,0.9942857142857143,0.7200840336134453,DFT+PCA
AL cores 1,0.3128818450123608,19.066066983870222,28.377717487759,15.783677442291184,0.7011764705882352,0.7609523809523808,0.557112853568849,0.44113303000904025,0.6305721172454165,0.7611764705882352,0.7211764705882353,0.5472605095093634,0.4415060143605774,0.6092235954155829,0.8621176470588235,0.7366666666666667,0.6020664896282806,0.5108882141250563,0.6423656756899792,0.8804705882352941,0.21636363636363637,0.2923926671883328,0.5614920634920635,0.48963373228079116,0.8821176470588236,0.002,0.0030769230769230765,0.006666666666666666,0.5530392156862745,DFT+PCA
AL cores 1&2,0.562926935852855,13.955341429899056,22.628508294407894,14.226658064208896,0.7482352941176471,0.8504761904761904,0.6248864781136012,0.49475849899984775,0.6910879329733133,0.8343529411764706,0.7035294117647058,0.6299437640464599,0.5710247852833666,0.6669241573475656,0.9407058823529413,0.8333333333333335,0.8000542549238202,0.7716516816516819,0.8142572133748603,0.9675294117647059,0.8327272727272726,0.8659342205781835,0.9081565656565658,0.8812654486036839,0.9254117647058823,0.382,0.5406776556776556,0.9633333333333334,0.7090196078431371,DFT+PCA
Random,0.1880273054716967,16.266491046994634,30.852241842397483,8.46737650221477,0.715529411764706,0.6104761904761905,0.5147509462714995,0.4458739194101795,0.5762927020020087,0.7978823529411763,0.29411764705882354,0.36375143401707455,0.5070540015540016,0.4711740596005301,0.8818823529411766,0.25,0.37411764705882355,0.7440000000000001,0.5499411764705883,0.8891764705882355,0.21454545454545454,0.3238461538461539,0.7133333333333332,0.5447629233511586,0.8835294117647061,0.01,0.016503496503496504,0.06,0.563235294117647,DFT+PCA
AL+Random,0.5010888350143372,14.258130813542422,24.179993503439047,12.632644495792011,0.7192941176470589,0.6733333333333331,0.542323723877553,0.4540290811339199,0.6040341484100974,0.8350588235294117,0.6647058823529411,0.6173151051771456,0.5784584536401066,0.6551115797612299,0.8981176470588236,0.6383333333333333,0.6395001948132383,0.6433969363969364,0.6663945466298407,0.9388235294117648,0.629090909090909,0.7270275689223058,0.8650476190476191,0.7710692640692642,0.9421176470588235,0.51,0.6708356676003733,0.9975,0.7825735294117646,DFT
AL cores 1,0.3446140461920183,16.484252324600458,27.71543685676107,12.092932628546018,0.7188235294117646,0.6666666666666665,0.5395257918552037,0.453139043381535,0.6010793256123363,0.8063529411764706,0.6705882352941175,0.5805683878238436,0.5125225355879819,0.624496561911638,0.8752941176470586,0.735,0.6257888509957475,0.5470917366946779,0.6597517507002801,0.8884705882352941,0.33090909090909093,0.4177673104329451,0.626095238095238,0.5217962821492234,0.8800000000000001,0.004,0.006666666666666667,0.02,0.4505882352941176,DFT
AL cores 1&2,0.5541111809097329,13.769200364276703,22.850030177942667,13.062610985572917,0.7409411764705882,0.6723809523809523,0.5619819866408102,0.48295587690025954,0.6181390028759001,0.8261176470588234,0.7023529411764704,0.6181997674577907,0.5527687103133327,0.6573255316272547,0.9230588235294117,0.8333333333333335,0.7549869619524792,0.6920340443869857,0.7744483947425123,0.9668235294117646,0.8418181818181817,0.8674726143421795,0.8976161616161616,0.8799524658348187,0.9416470588235293,0.508,0.6601993974377875,0.9931428571428572,0.7795126050420168,DFT
Random,0.17351532131667008,15.771846125753182,31.127124475673586,7.3415603894771975,0.7390588235294117,0.52,0.4957777924748854,0.4753227085314042,0.556955471912761,0.8089411764705882,0.18,0.2740030491247883,0.5906666666666667,0.46733333333333327,0.8823529411764707,0.25,0.375,0.75,0.5529411764705883,0.8929411764705881,0.26181818181818184,0.3867252747252746,0.7466666666666666,0.5520071301247772,0.9,0.184,0.29813186813186815,0.8899999999999999,0.5850000000000001,DFT
AL+Random,0.11002214591275272,19.383276340111305,32.299609119920994,14.98697651166903,0.688,0.818095238095238,0.5655510256654914,0.4331887077777883,0.6481125611718072,0.7691764705882352,0.4764705882352942,0.4515237120562198,0.4319649368713576,0.5065707037297965,0.8138823529411762,0.3983333333333334,0.38129390895510995,0.37870623983859275,0.43099037482125724,0.8543529411764703,0.2181818181818182,0.26767777286353134,0.3841758241758242,0.35176705647293877,0.8698823529411766,0.09999999999999998,0.15214652014652014,0.3213333333333333,0.2636078431372549,DRFP
AL cores 1,0.12167977427219666,17.785849187476337,32.08922114729894,10.055397592718693,0.7032941176470586,0.5723809523809523,0.4881512605042016,0.4257204301075268,0.5518742206560043,0.7844705882352939,0.6364705882352942,0.5419465308753252,0.47858069522397156,0.5938785829061035,0.8588235294117647,0.08333333333333331,0.14285714285714285,0.5,0.3563725490196078,0.8701176470588236,0.0018181818181818182,0.003076923076923077,0.01,0.5404973262032086,0.8823529411764707,0.0,0.0,0.0,0.5588235294117646,DRFP
AL cores 1&2,0.09999018076052556,20.70846429826276,32.48093598532453,17.763315254344217,0.6418823529411765,0.838095238095238,0.5376947450767877,0.3970858145274764,0.6375905263113573,0.7670588235294118,0.6788235294117646,0.5363280600902962,0.4486173553208401,0.595838089425126,0.796705882352941,0.4733333333333334,0.3960466225983468,0.3406771708683473,0.4441817226890757,0.8211764705882354,0.3563636363636364,0.34424154247312133,0.34395404595404594,0.39180589998237053,0.8687058823529411,0.188,0.23931237974272027,0.36307936507936495,0.32330438842203546,DRFP
Random,-0.11357239255026062,17.135488349792414,36.132038989001614,3.6284421847753334,0.7251764705882353,0.042857142857142844,0.06836349607270921,0.19967460317460317,0.28950116713352003,0.7999999999999998,0.0,0.0,0.0,0.6000000000000001,0.8588235294117647,0.0,0.0,0.0,0.5705882352941175,0.8705882352941177,0.0,0.0,0.0,0.5647058823529412,0.8823529411764707,0.0,0.0,0.0,0.5588235294117646,DRFP
AL+Random,0.12606510880505772,21.936042569841543,32.00452378782738,20.230107256202444,0.627764705882353,0.9219047619047619,0.5508601567902096,0.3932643634392489,0.6672316214955347,0.7376470588235294,0.7670588235294118,0.5391406365814904,0.41585726501137416,0.6147521619174519,0.7783529411764705,0.5316666666666666,0.4021081472127733,0.32395209333299924,0.4608682035292448,0.800941176470588,0.4236363636363636,0.35559056942835054,0.3075803129618919,0.4029024559461866,0.848235294117647,0.29600000000000004,0.3086864267931706,0.3279614274614275,0.353392478436596,PCA
AL cores 1,0.1350821331278828,25.10704737543141,31.834997685628945,23.962134008279385,0.31576470588235295,1.0,0.41978855481511734,0.26575478269213393,0.6328773913460669,0.5503529411764706,0.8294117647058822,0.425241068464041,0.2862599667484851,0.5748946892565955,0.7559999999999998,0.6983333333333335,0.45169323205295214,0.34032992476191315,0.5406257466946821,0.899529411764706,0.4690909090909091,0.5471576197497182,0.706081252081252,0.6219390217625511,0.8842352941176472,0.02,0.03333333333333333,0.1,0.5576470588235294,PCA
AL cores 1&2,0.15856019512942424,21.57991923725123,31.40332138271157,20.470592526184845,0.6329411764705882,0.9228571428571428,0.554507534541522,0.396613404000553,0.669264685193554,0.7200000000000002,0.7729411764705881,0.5250022302736437,0.39775552535087644,0.6080542332636736,0.7489411764705882,0.5,0.35949268538357715,0.2811362155388471,0.42586222541648233,0.808705882352941,0.4545454545454545,0.38281112700786735,0.3328947011880448,0.4290141955138085,0.8701176470588236,0.428,0.43562743796637987,0.4507853812853812,0.47303974946622007,PCA
